hash,cadical_runtimes,cadical_elimfalse_runtimes,cadical_pripro_runtimes,cadical_stability_runtimes,candy_runtimes,glucose_chanseok_runtimes,glucose_runtimes,glucose_syrup_runtimes,glucose_var_decay099_runtimes,kissat_runtimes,kissat_sweep_runtimes,lingeling_runtimes,lstech_maple_runtimes,march_nh_runtimes,minisat__runtimes,relaxed__runtimes,slime_runtimes,yalsat_runtimes
a7aac5c83f236fd8b3de3275e3f5499d,309.86,279.48,308.88,344.08,203.38,256.96,162.58,530.31,237.98,238.67,234.67,442.92,290.78,timeout,387.17,235.68,259.38,timeout
a7c09938b19b47648cb6415eb5ddfd30,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
a7dc4646f1472f466a2c33340eb24bd5,timeout,timeout,timeout,timeout,timeout,timeout,3783.09,11591.02,timeout,3719.86,3462.70,timeout,2140.39,timeout,timeout,2093.91,timeout,timeout
a81fe8e3c5860c5b0de52e7458cdc04d,297.08,231.65,236.38,247.68,601.66,237.37,85.38,538.33,222.08,139.48,175.68,262.47,253.18,timeout,238.28,155.16,28.89,timeout
a87f0865445994906585600eae553474,timeout,timeout,timeout,timeout,timeout,2806.53,167.98,568.25,2022.10,1005.34,185.56,timeout,251.98,timeout,1134.94,405.44,25.29,timeout
a899e769ba329f5f952a38973adc0262,timeout,timeout,timeout,timeout,1883.90,1050.16,499.37,2505.82,1248.32,120.37,123.69,442.28,323.78,timeout,1863.14,319.78,531.87,timeout
a8b6af92314b321b3614ded2da24b2dd,566.09,492.62,554.77,805.25,615.55,339.58,477.46,2626.82,428.87,660.35,593.86,1425.40,632.94,timeout,1094.35,516.66,638.45,timeout
a8c238772abad3c65f89523e3d137d9b,timeout,timeout,timeout,timeout,0.19,0.09,0.00,0.09,0.00,0.09,0.09,0.69,1.90,timeout,0.00,35.78,19.69,timeout
a8c50e130aa5eb28d4b66b205a9d718a,51.69,142.67,71.19,165.68,207.67,134.99,343.57,888.41,669.76,3603.13,4299.07,2727.92,125.29,timeout,3665.62,155.09,159.48,timeout
a8c6f24ce9bc4ae6953763a82835e2d4,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
a913a2365c8167b9ddbc1e11afbab314,timeout,timeout,timeout,timeout,timeout,1226.03,543.02,timeout,3594.00,timeout,timeout,797.69,timeout,timeout,timeout,4593.86,timeout,timeout
a97d498dd69d346aad64f3809b5ff160,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
a980ab3741bce296b9b72fd61faef688,timeout,timeout,timeout,timeout,timeout,34.38,170.48,1934.45,2611.86,824.54,18.19,timeout,1087.54,timeout,1629.40,1674.25,1398.05,timeout
a9af7d6a6d977c953478e4bba08776a8,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
a9c0f64594a3eaede246b31eb3bc839b,24.38,45.99,17.39,25.49,81.58,22.79,41.09,51.36,32.59,27.29,26.09,89.39,92.39,timeout,76.59,130.49,114.89,timeout
a9fc2c77bfcf2ab5b90f6a513f0361ca,timeout,timeout,timeout,timeout,timeout,3968.95,timeout,timeout,timeout,timeout,timeout,timeout,2034.39,timeout,timeout,3444.15,timeout,timeout
aa09403249f021450cc798cc560a14a3,148.47,42.79,91.39,168.98,230.97,169.69,316.58,479.60,139.18,71.98,61.19,66.48,13.99,timeout,95.18,248.68,254.58,timeout
aa1061e9becd2894b95cac19ea1ca72a,982.65,1310.59,531.26,743.06,714.04,531.06,363.29,1284.91,896.05,561.96,677.86,961.96,443.27,timeout,638.05,1357.62,607.84,timeout
aa296db0e5a58249734a370ef5eee0cd,2250.04,638.94,1931.63,2292.71,285.97,199.77,149.68,368.59,155.38,311.97,319.77,453.48,372.03,timeout,614.46,364.07,406.67,timeout
aa6994af851710b3d1f485e87ba99f84,3922.01,timeout,2708.97,3706.27,timeout,timeout,4719.56,timeout,timeout,timeout,timeout,timeout,3569.70,timeout,timeout,3560.34,timeout,timeout
aad5bbe8920c5afc84068bb1da27ee8f,1911.04,2621.05,timeout,2383.41,3558.20,871.26,1257.25,4148.88,1332.42,853.69,488.76,timeout,2348.12,timeout,3780.31,3128.09,2142.13,timeout
ab045d95555fad4b4156c7083fa66977,314.17,525.62,341.67,1818.82,timeout,timeout,timeout,timeout,timeout,154.98,151.78,timeout,314.58,timeout,timeout,264.98,225.88,timeout
ab8a0d70916ef1a61c8e6d29df7f9f02,2595.07,4967.35,2859.67,2147.45,timeout,timeout,timeout,timeout,timeout,2063.50,2165.20,timeout,3110.40,timeout,4411.85,timeout,timeout,timeout
